Route,Location,URL,"Avg Stars","Your Stars","Route Type",Rating,Pitches,Length,"Area Latitude","Area Longitude"
"The Delicate Sound of Thunder","North Face > Whiskey Peak > (16) Black Velvet Canyon > Red Rocks > Southern Nevada > Nevada",https://www.mountainproject.com/route/105732488/the-delicate-sound-of-thunder,3.8,-1,Trad,5.11b,2,200,36.03509,-115.46345
"Mr Choad's Wild Ride","Sunny and Steep > Kraft Mountain Area > (01) Calico Basin > Red Rocks > Southern Nevada > Nevada",https://www.mountainproject.com/route/106375205/mr-choads-wild-ride,3.7,-1,Sport,5.11b,1,105,36.16986,-115.42321
Lunatic,"The Fringe > Ash Canyon > (01) Calico Basin > Red Rocks > Southern Nevada > Nevada",https://www.mountainproject.com/route/107612092/lunatic,3.7,-1,Sport,5.11b,1,95,36.16162,-115.43509
"Caustic Cock","Cannibal Crag > (01) Calico Basin > Red Rocks > Southern Nevada > Nevada",https://www.mountainproject.com/route/105820098/caustic-cock,3.4,-1,Sport,5.11b,1,40,36.14903,-115.42296
"Mary Jane","Mary Jane Cliff > Kyle Canyon > Mount Charleston > Southern Nevada > Nevada",https://www.mountainproject.com/route/105859077/mary-jane,3.5,-1,Sport,5.11b,1,50,36.26933,-115.66735
"The Grind","Sweet Pain Wall > (04) Second Pullout (Calico II) > Red Rocks > Southern Nevada > Nevada",https://www.mountainproject.com/route/105939418/the-grind,3.4,-1,Sport,5.11b,1,65,36.15597,-115.43663
"When the Cat's Away","Holiday Wall > Calico Tanks Area > (05) Sandstone Quarry > Red Rocks > Southern Nevada > Nevada",https://www.mountainproject.com/route/105913032/when-the-cats-away,3.4,-1,Sport,5.11b,1,40,36.16286,-115.44137
"Marshall Amp","Stratocaster Area > (04) Second Pullout (Calico II) > Red Rocks > Southern Nevada > Nevada",https://www.mountainproject.com/route/105813493/marshall-amp,3.4,-1,Sport,5.11b,1,105,36.15852,-115.4401
Paralyzed,"Alternative Crag > (01) Calico Basin > Red Rocks > Southern Nevada > Nevada",https://www.mountainproject.com/route/106421508/paralyzed,3.4,-1,Sport,5.11b,1,50,36.15633,-115.43093
"Bat Boy","Sonar Wall > North Echo Cliff > Echo Cliffs > Kyle Canyon > Mount Charleston > Southern Nevada > Nevada",https://www.mountainproject.com/route/113626932/bat-boy,3.3,-1,Sport,5.11b,1,65,36.25166,-115.64725
Footloose,"Stratocaster Area > (04) Second Pullout (Calico II) > Red Rocks > Southern Nevada > Nevada",https://www.mountainproject.com/route/106649113/footloose,3.1,-1,Sport,5.11b,1,60,36.15852,-115.4401
"Shut Up and Climb","The Wake-Up Wall > Wake Up Wall Area > (05) Sandstone Quarry > Red Rocks > Southern Nevada > Nevada",https://www.mountainproject.com/route/105885132/shut-up-and-climb,3.0,-1,Sport,5.11b,1,60,36.16724,-115.45361
"The Great Train Robbery","The Robbery Wall > Robber's Roost > Route 158 > Mount Charleston > Southern Nevada > Nevada",https://www.mountainproject.com/route/106911231/the-great-train-robbery,2.9,-1,Sport,5.11b,1,,36.30159,-115.6127
Psychobilly,"Lower Level - Right > Lower Level > The Black Corridor > (04) Second Pullout (Calico II) > Red Rocks > Southern Nevada > Nevada",https://www.mountainproject.com/route/105826090/psychobilly,2.8,-1,Sport,5.11b,1,60,36.15539,-115.4361
